"longitude","latitude","station_name"
"966496",-94.4481,36.4261,"GRAVETTE"
"966497",-104.8694,39.7633,"DENVER-STAPLETON"
"966499",-107.1375,45.9353,"HYSHAM 25 SSE"
"966500",-91.8861,39.1756,"MEXICO"
"966502",-93.6356,44.65,"JORDAN 1SSW"
"966507",-106.9103,47.3144,"JORDAN"
"966509",-104.4325,36.9194,"RATON FLTR PLT"
"966511",-116.0572,48.0864,"CABINET GORGE"
"966513",-90.535,44.5378,"NEILLSVILLE 3ESE"
"966515",-91.8761,45.8236,"SPOONER AG RES STN"
"966518",-110.9297,42.7292,"AFTON"
"966519",-92.6886,45.7728,"GRANTSBURG"
"966521",-95.1933,42.6469,"STORM LAKE"
"966522",-99.0631,43.4892,"ACADEMY 2NE"
"966523",-111.1494,41.525,"WOODRUFF"
"966525",-112.0125,43.5139,"IDAHO FALLS - KIFI"
"966527",-104.1886,43.8497,"NEWCASTLE"
"966528",-122.4406,38.5731,"ANGWIN PAC UNION COL"
"966531",-102.4478,44.0697,"WASTA"
"966532",-100.6931,42.5711,"VALENTINE NWR"
"966537",-105.7517,45.1758,"MOORHEAD 9 NE"
"966539",-111.8561,41.7353,"LOGAN RADIO KVNU"
"966541",-98.8092,38.8761,"RUSSELL MUNI AP"
"966544",-92.7867,41.0656,"ALBIA 3 NNE"
"966546",-96.9033,43.0431,"CENTERVILLE 6 SE"
"966547",-100.4525,48.8217,"BOTTINEAU"
"966550",-100.1369,36.4328,"FOLLETT"
"966551",-81.3928,30.2875,"JACKSONVILLE BEACH"
"966554",-100.4794,43.4978,"WOOD"
"966556",-120.1561,36.3642,"FIVE POINTS 5 SSW"
"966558",-109.4847,37.6131,"BLANDING"
"966563",-95.52,39.6678,"HORTON"
